Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas1250           Pavarde1250                     10         8         6        10         4         6         6         4
Vardas1251           Pavarde1251                      6         7         5         4         9         9         1         5
Vardas1252           Pavarde1252                     10         3         5         3         1         7         6        10
Vardas1253           Pavarde1253                      8         2         4         3         4         5         7         8
Vardas1254           Pavarde1254                      2         5         7         5         2        10         6         9
Vardas1255           Pavarde1255                      7         7         1         9         9         4         7         6
Vardas1256           Pavarde1256                     10         9         1        10         7         6         2         6
Vardas1257           Pavarde1257                      2         3         5         7        10         5         4         9
Vardas1258           Pavarde1258                      5         7         8         6         9         2         7         1
Vardas1259           Pavarde1259                      3         1         5         1         8         9         6         2
Vardas1260           Pavarde1260                     10        10        10         1         7         5         8        10
Vardas1261           Pavarde1261                      3         7         3         5        10         3         5        10
Vardas1262           Pavarde1262                      6         3         9         2        10         3         5         6
Vardas1263           Pavarde1263                     10         9         1         7        10        10         3         1
Vardas1264           Pavarde1264                     10         1         3         7        10         8         2         9
Vardas1265           Pavarde1265                      9         2         5         8         2         6         9         2
Vardas1266           Pavarde1266                      1         1         4         8         3         4         5         9
Vardas1267           Pavarde1267                      3         6         5         8         3         9        10         8
Vardas1268           Pavarde1268                      6         2        10         3         7         5         7         8
Vardas1269           Pavarde1269                      5         4         3        10         4         3         5         9
Vardas1270           Pavarde1270                      4         5         8         3         8        10        10         2
Vardas1271           Pavarde1271                     10        10         4         5         3         8        10         9
Vardas1272           Pavarde1272                      7         6        10         4         1         5         1         6
Vardas1273           Pavarde1273                      4         7         5         7         4         8         2         1
Vardas1274           Pavarde1274                      6         3         8         4         9         6         6        10
Vardas1275           Pavarde1275                     10         2         6         3         1         9         1         2
Vardas1276           Pavarde1276                      2         4         2         4         5        10         6         2
Vardas1277           Pavarde1277                      4         5         9         4         3         4         6         2
Vardas1278           Pavarde1278                     10         4         2         3         9        10        10         5
Vardas1279           Pavarde1279                      6         9         9         2         1         2         6         9
Vardas1280           Pavarde1280                      6         4         7        10         2         1         4         6
Vardas1281           Pavarde1281                      9         5         7         8        10        10         7         5
Vardas1282           Pavarde1282                      1         2         7         6         2         1         2         2
Vardas1283           Pavarde1283                      6         4         9         3         6         6         9         5
Vardas1284           Pavarde1284                      7         1         6         7         4         7        10         9
Vardas1285           Pavarde1285                      5         4         9         7        10         5         8         3
Vardas1286           Pavarde1286                      3         4         9         9        10         7         1         8
Vardas1287           Pavarde1287                      7         8         7         5         4         6         7         8
Vardas1288           Pavarde1288                      2         8         5         3         8         8         9         1
Vardas1289           Pavarde1289                      7         6         1         5         4         4         3        10
Vardas1290           Pavarde1290                      3         2         5         4         3         9        10         3
Vardas1291           Pavarde1291                      6         1         3        10         1         5         9         1
Vardas1292           Pavarde1292                      7         4         4         9         8         6         2         4
Vardas1293           Pavarde1293                     10         6         7         6         6         2         4         5
Vardas1294           Pavarde1294                      3         1         9         5         2         4         8         4
Vardas1295           Pavarde1295                      4         9        10         4         8         1         7         3
Vardas1296           Pavarde1296                      4         6         7         3         6         5         1         8
Vardas1297           Pavarde1297                      5        10         3         9         5         7         6         3
Vardas1298           Pavarde1298                      4         9        10         8         4         9         4        10
Vardas1299           Pavarde1299                     10         8         2         1         2        10         5         2
Vardas1300           Pavarde1300                      5         6         8         5        10         1         6         4
Vardas1301           Pavarde1301                      6         6        10         7         9         4         2         7
Vardas1302           Pavarde1302                      7        10         9         3         1         9         6         3
Vardas1303           Pavarde1303                      3         9         5         1         2         3        10         7
Vardas1304           Pavarde1304                      6         4         3        10        10         2         6         5
Vardas1305           Pavarde1305                      4         8         9         9         7         2         6        10
Vardas1306           Pavarde1306                      6         8        10         1        10         8         2         8
Vardas1307           Pavarde1307                      5         7         9         9         3         4         1         5
Vardas1308           Pavarde1308                      7         2         7         3         7         8         5        10
Vardas1309           Pavarde1309                      3         2         4         5         1         9         3         7
Vardas1310           Pavarde1310                      9         7         9         4         2         5         1         3
Vardas1311           Pavarde1311                      9         9         4         4         8         1         7         5
Vardas1312           Pavarde1312                     10         1         3         5         9         5         3        10
Vardas1313           Pavarde1313                      7         7         4         7         6         5         1         4
Vardas1314           Pavarde1314                      3        10         4         1         6         1         5         1
Vardas1315           Pavarde1315                      7         2         1         6         6         6         6         4
Vardas1316           Pavarde1316                      2         2         9        10         1         3         9         1
Vardas1317           Pavarde1317                      1         6        10         6         2         8        10         6
Vardas1318           Pavarde1318                      5         5         4         9         1         1        10        10
Vardas1319           Pavarde1319                      2         9         4         2         1         1         4         6
Vardas1320           Pavarde1320                      2         6         2        10         4         4         9         4
Vardas1321           Pavarde1321                      7         2         9         9         7         4         7         6
Vardas1322           Pavarde1322                      6         1         1         1         4         1         3         9
Vardas1323           Pavarde1323                      4         8         2         3         8         4        10         3
Vardas1324           Pavarde1324                      6         1         7         5         9         1         2         1
Vardas1325           Pavarde1325                      7         3         2         2         4         9         9         9
Vardas1326           Pavarde1326                      7         3         4         9         4         4         5         8
Vardas1327           Pavarde1327                      3         9         7         3         8         5         7         7
Vardas1328           Pavarde1328                      8         9        10         6         6         8         3         4
Vardas1329           Pavarde1329                      5         5         8         1         2         1         8         4
Vardas1330           Pavarde1330                      8         1         1         6         4         8         5         8
Vardas1331           Pavarde1331                      9         9         4         9         4         7         1         3
Vardas1332           Pavarde1332                      7         7        10         6         2        10         2         3
Vardas1333           Pavarde1333                      9         3         6         1         3         6         1         6
Vardas1334           Pavarde1334                      7         4         9         4        10         5         9        10
Vardas1335           Pavarde1335                      9         9         8         7         7         5         8         8
Vardas1336           Pavarde1336                      9         1         3         5         6         9         7        10
Vardas1337           Pavarde1337                      9         3         8         5         7         6         6         8
Vardas1338           Pavarde1338                      5         6         8         6         3         8         8         5
Vardas1339           Pavarde1339                      9         5         3         5         3         5         8         9
Vardas1340           Pavarde1340                      4         9         6         7         3         4         7         5
Vardas1341           Pavarde1341                      9         5         4         9         1         1         7         1
Vardas1342           Pavarde1342                      9         3         3         9        10         9         8         6
Vardas1343           Pavarde1343                      6         8         8         1         5         4         4        10
Vardas1344           Pavarde1344                      6        10         3         3         2         3         6         1
Vardas1345           Pavarde1345                      8         9         5         5         6         9        10         8
Vardas1346           Pavarde1346                      2         3         1         4         1         6         9         8
Vardas1347           Pavarde1347                      1         3         4         5         2         5        10         2
Vardas1348           Pavarde1348                      2         2         8         6         5        10         9         4
Vardas1349           Pavarde1349                      9         6         4         2         3         1         1         4
Vardas1350           Pavarde1350                      5         2         1         7         2         8         4        10
Vardas1351           Pavarde1351                      2         3         4         4        10         5         1         3
Vardas1352           Pavarde1352                      5         6         8         5         9         2         7         4
Vardas1353           Pavarde1353                      5         8         9         9        10         6         9         8
Vardas1354           Pavarde1354                      1         4        10         2         5         6         1         6
Vardas1355           Pavarde1355                      5         9         3         8         3         4         4         4
Vardas1356           Pavarde1356                      6         2         4         7         7         2         8         7
Vardas1357           Pavarde1357                      8         4         4         7         3         3         4         7
Vardas1358           Pavarde1358                      7         2         1         2        10         6         6         2
Vardas1359           Pavarde1359                      6         3         9         9         1         5         6         1
Vardas1360           Pavarde1360                      9         3         7         4         9        10         1         9
Vardas1361           Pavarde1361                      9         3         8         8         2         2         2         9
Vardas1362           Pavarde1362                      4         3         2         2         2         7         9        10
Vardas1363           Pavarde1363                     10         7         7         3         1        10         2         7
Vardas1364           Pavarde1364                      2         5         8         1         2         6         6         2
Vardas1365           Pavarde1365                      5         2         8         6         6         5         1         5
Vardas1366           Pavarde1366                      5         7         2        10         1         9         1         9
Vardas1367           Pavarde1367                      3         4         2         5        10         8         9         3
Vardas1368           Pavarde1368                      6         2         4         2         4         6        10         9
Vardas1369           Pavarde1369                      7         7         9         3         3         2         6         7
Vardas1370           Pavarde1370                      2        10         6         7         2         9        10         9
Vardas1371           Pavarde1371                      2         7         2         3         4        10         5         4
Vardas1372           Pavarde1372                      8         3         5         3         3         2         5         4
Vardas1373           Pavarde1373                      8         9         2         4         3         2         5         9
Vardas1374           Pavarde1374                      1         1        10        10         5         3         6         1
Vardas1375           Pavarde1375                     10         5         3         2         1         8         8         6
Vardas1376           Pavarde1376                     10         1         8         6         1         1         7         1
Vardas1377           Pavarde1377                      6         1         9         6         5         8         1         3
Vardas1378           Pavarde1378                      3         2        10         4         8         4         6         2
Vardas1379           Pavarde1379                      8         3        10         5         9         8         6         3
Vardas1380           Pavarde1380                      3         7         8         4         7         4         7         4
Vardas1381           Pavarde1381                      4         3         1         9         3         8         1         7
Vardas1382           Pavarde1382                     10         9         4         2         9         4         4        10
Vardas1383           Pavarde1383                      4         7         4         7         9         6         2         7
Vardas1384           Pavarde1384                      9         7         4         7         7         8         5         7
Vardas1385           Pavarde1385                      1         4         2         2         6         3         8         1
Vardas1386           Pavarde1386                      4         5         9         7        10         2         3        10
Vardas1387           Pavarde1387                      8         6        10         2         1         5         5         7
Vardas1388           Pavarde1388                      7         3         1         6        10        10         4         7
Vardas1389           Pavarde1389                      9         7         2         1         7         1         4         2
Vardas1390           Pavarde1390                     10         2         6         8         1         6         2         1
Vardas1391           Pavarde1391                      2         2         2         4         5         8        10         3
Vardas1392           Pavarde1392                      6        10         9         5         9        10         3         8
Vardas1393           Pavarde1393                     10         8         3         9         7         5         4         4
Vardas1394           Pavarde1394                      8         8         7         5         5         3         7         4
Vardas1395           Pavarde1395                     10         8         7        10        10         8        10         2
Vardas1396           Pavarde1396                      9        10         1         9         1         4         4         8
Vardas1397           Pavarde1397                      4         3         8         5         1         3         8         9
Vardas1398           Pavarde1398                      7         6         6         7         7         7         2         5
Vardas1399           Pavarde1399                      7         9         6         4        10         2         8         6
Vardas1400           Pavarde1400                      8         1         6         4         6        10        10         1
Vardas1401           Pavarde1401                      8        10         4         9         4         3         4         5
Vardas1402           Pavarde1402                      3         8         1         3        10         1        10         6
Vardas1403           Pavarde1403                      1         5        10         1         7         4        10         3
Vardas1404           Pavarde1404                      9         2         2         4         6         9         2         1
Vardas1405           Pavarde1405                      8         9         9         3         6        10         7         2
Vardas1406           Pavarde1406                      1         9         2         8         9         6         8         8
Vardas1407           Pavarde1407                      6         4         6         7         6         9         8         3
Vardas1408           Pavarde1408                      1         3         8         1         6         3         4         2
Vardas1409           Pavarde1409                      5         9         6         6         4         1         3         3
Vardas1410           Pavarde1410                      2         6         9         9        10         1         6         5
Vardas1411           Pavarde1411                      2         9        10         2         4         6         2         1
Vardas1412           Pavarde1412                      2         5         5         9         1        10         3         7
Vardas1413           Pavarde1413                      1         5         4         2         1         8         8        10
Vardas1414           Pavarde1414                      8         2         7         7         1         6         8         8
Vardas1415           Pavarde1415                      8         1         2         2         4         7         6         3
Vardas1416           Pavarde1416                      6         1         2         3        10         3         4         7
Vardas1417           Pavarde1417                      2         6         2         5         9         4         4         7
Vardas1418           Pavarde1418                      6         7         7         9         8         4         8         2
Vardas1419           Pavarde1419                      3         3        10         2         4         8         7         5
Vardas1420           Pavarde1420                      6        10         7         7         2         2         1         4
Vardas1421           Pavarde1421                      1         2         7         8         8         4         7        10
Vardas1422           Pavarde1422                      4         4         9         9         5         5         5         9
Vardas1423           Pavarde1423                      7         8        10         8        10         7         2         6
Vardas1424           Pavarde1424                      2         8         9         5        10         2         8         9
Vardas1425           Pavarde1425                      4         5         6         4         2         5        10         4
Vardas1426           Pavarde1426                      6         5         5         6         7         3         5         1
Vardas1427           Pavarde1427                      6         9         4         7         8         8         3         3
Vardas1428           Pavarde1428                      5         6         1         1         1         9         4         2
Vardas1429           Pavarde1429                      1         5         7         1         5         4         2        10
Vardas1430           Pavarde1430                      3         3         5        10         4         5         1        10
Vardas1431           Pavarde1431                      8         2         1         6         7         5         6         6
Vardas1432           Pavarde1432                      7         8         3         1         5         9         2        10
Vardas1433           Pavarde1433                      9         4         4        10         3        10         8         3
Vardas1434           Pavarde1434                      9         1         9         3         2         1         7        10
Vardas1435           Pavarde1435                      6        10         4         9         4         4         1         9
Vardas1436           Pavarde1436                      4         7         6         8         9         2         7        10
Vardas1437           Pavarde1437                      5         8         8         2         3         4         7         3
Vardas1438           Pavarde1438                      5         8         3        10        10         9         7         3
Vardas1439           Pavarde1439                      6         9         5         3         8         8         4         8
Vardas1440           Pavarde1440                      9         6         8         2         7         6         9         3
Vardas1441           Pavarde1441                      5        10         4         2        10         2         8         4
Vardas1442           Pavarde1442                     10         4         6         2         7         9         5         2
Vardas1443           Pavarde1443                      4         6         6         2         1         9         8         2
Vardas1444           Pavarde1444                     10         8        10         7         3         5         2         8
Vardas1445           Pavarde1445                      4         8         6         8         1         7        10         1
Vardas1446           Pavarde1446                      9        10         8         5         5         3         3         9
Vardas1447           Pavarde1447                      8         7         9         8        10         4         6         7
Vardas1448           Pavarde1448                      9         4         8         2         4         7         6         5
Vardas1449           Pavarde1449                      3         4         7         9         7         6         7        10
Vardas1450           Pavarde1450                      2         6         2         3         1        10         7        10
Vardas1451           Pavarde1451                      3         7         8         2         2         3         3         9
Vardas1452           Pavarde1452                      8         7         7         9         1         5         7        10
Vardas1453           Pavarde1453                      9         3         9         2         6         5         5         8
Vardas1454           Pavarde1454                      5         1         9         9         6         5         4         3
Vardas1455           Pavarde1455                      4        10        10         6         3         3         7         7
Vardas1456           Pavarde1456                      4         4         2         9        10         7         9        10
Vardas1457           Pavarde1457                      5         8         5         8         5         8         8         5
Vardas1458           Pavarde1458                      1         5         8         4         7         6         8         3
Vardas1459           Pavarde1459                      4        10        10         5         4         4         9        10
Vardas1460           Pavarde1460                      2         9         8         5         6         2        10         4
Vardas1461           Pavarde1461                      5         4         1         4         2         9        10         8
Vardas1462           Pavarde1462                      2         7        10         1         6         6         7         2
Vardas1463           Pavarde1463                      4         6         1         2         5        10        10         1
Vardas1464           Pavarde1464                      6         2        10        10         2         2         1         3
Vardas1465           Pavarde1465                      7         8         7         4         5         8         3         9
Vardas1466           Pavarde1466                      3         8         1         8         2         1         7         5
Vardas1467           Pavarde1467                      2         6         3         2         3         5         7         1
Vardas1468           Pavarde1468                      2        10         3         8         5         3         2         1
Vardas1469           Pavarde1469                      8         5         1         9         9         3         4         6
Vardas1470           Pavarde1470                      4         6         4         9         6         2         2         6
Vardas1471           Pavarde1471                      4         5         5         8         5         4         4         4
Vardas1472           Pavarde1472                      9         9         5         2         1         3         3         9
Vardas1473           Pavarde1473                      6         6         7         3         4        10         8         9
Vardas1474           Pavarde1474                      9         6         7        10         9         6        10         1
Vardas1475           Pavarde1475                      9         5         2         6         4         9         4         6
Vardas1476           Pavarde1476                      5        10         6         6         5         1         2         9
Vardas1477           Pavarde1477                      2        10        10         8        10         3         4         4
Vardas1478           Pavarde1478                      8         7         8         4        10         5         3         3
Vardas1479           Pavarde1479                      6         9         7         7         8         6         8         8
Vardas1480           Pavarde1480                      6         3        10         5         3         8        10         7
Vardas1481           Pavarde1481                      4         4         7        10         4         9         3         3
Vardas1482           Pavarde1482                      8         9         4         3         2        10         2        10
Vardas1483           Pavarde1483                      3         3         2         1         2         3         5         2
Vardas1484           Pavarde1484                      6         6         4        10         4         2         7         9
Vardas1485           Pavarde1485                      5         6         3         5         1         9         4         8
Vardas1486           Pavarde1486                      4         9         5         9         5         8         1         2
Vardas1487           Pavarde1487                      8         2         9         2        10         9         6         4
Vardas1488           Pavarde1488                      6         7         7         5         2         1         6         5
Vardas1489           Pavarde1489                      7         2         2         9         5         2         9         1
Vardas1490           Pavarde1490                      1         6         1        10         7         3         6         9
Vardas1491           Pavarde1491                      6         6         2         1         8         2         3         6
Vardas1492           Pavarde1492                      1         1         6         1        10         6         4         2
Vardas1493           Pavarde1493                      8         3         1         7         2         6         3         9
Vardas1494           Pavarde1494                      5         3         9         1        10        10         1         6
Vardas1495           Pavarde1495                      6         6         8         9         8        10         6         1
Vardas1496           Pavarde1496                      4         4         3         8         4         6         3         2
Vardas1497           Pavarde1497                      3        10         4         8         4         9         1         5
Vardas1498           Pavarde1498                      1        10         6         2         5         7         7         9
Vardas1499           Pavarde1499                      7         1        10         1         3         6         1         4
Vardas1500           Pavarde1500                      1         8         8        10         9         5         4         7
Vardas1501           Pavarde1501                      3         8         9         7         3         6         1         3
Vardas1502           Pavarde1502                      5         7         6         9         5         6         6         8
Vardas1503           Pavarde1503                      7         2         4         8         3         4         8         5
Vardas1504           Pavarde1504                     10         5         9         3         6         1         2         1
Vardas1505           Pavarde1505                     10         7         3         2         6         3         4         2
Vardas1506           Pavarde1506                      1        10         9         5         4         4         4        10
Vardas1507           Pavarde1507                      5         4         3         9         9         8         3         4
Vardas1508           Pavarde1508                      8         7         8         3         8         7         3         1
Vardas1509           Pavarde1509                      7         2         9         4        10        10         6         9
Vardas1510           Pavarde1510                      8         1        10         4         6         9         6         1
Vardas1511           Pavarde1511                      8         7         9         9         1        10         6         9
Vardas1512           Pavarde1512                      1        10         6         3         3         9        10         1
Vardas1513           Pavarde1513                      6         9         4         2         8         2         6         4
Vardas1514           Pavarde1514                      4         6         9         5         4         9         2         7
Vardas1515           Pavarde1515                      7         1        10         5        10         4         1         6
Vardas1516           Pavarde1516                      4         7         2        10         8         1         2         7
Vardas1517           Pavarde1517                     10         3         3         8         3         3         6         4
Vardas1518           Pavarde1518                      1         3         9         6         4         2         3         7
Vardas1519           Pavarde1519                     10         8        10         7         9         2         9         6
Vardas1520           Pavarde1520                      1         6         2         4         9         4         5         5
Vardas1521           Pavarde1521                      6         9         8         3         4         1         8         9
Vardas1522           Pavarde1522                      3         6         9         1        10         6         4         9
Vardas1523           Pavarde1523                      7         2         7         5         8         3        10        10
Vardas1524           Pavarde1524                      7        10        10         3         1         5         5         7
Vardas1525           Pavarde1525                      6         4        10         2         2         2         5         8
Vardas1526           Pavarde1526                      6         7         3         2         8         6         6         6
Vardas1527           Pavarde1527                      1         9         3         4         9        10         2         6
Vardas1528           Pavarde1528                      1         6         6         5         4         1         1         3
Vardas1529           Pavarde1529                      4         5        10         4         2         4         1        10
Vardas1530           Pavarde1530                      4         4         3         5         8         5         1         3
Vardas1531           Pavarde1531                      3         9         2         6         4         7         1        10
Vardas1532           Pavarde1532                      7        10         4         9         3         4         8        10
Vardas1533           Pavarde1533                      4         4         5         1         7         7         1         1
Vardas1534           Pavarde1534                      1         9         1         6         1         2         6         6
Vardas1535           Pavarde1535                      5         5         6         4         5         8         1         7
Vardas1536           Pavarde1536                      7         9         4         8        10         8         9         3
Vardas1537           Pavarde1537                      5        10         5         2         3         5         8         5
Vardas1538           Pavarde1538                      6         7         8         2         7         7         1         1
Vardas1539           Pavarde1539                      6         5         1         3        10         9         9         5
Vardas1540           Pavarde1540                      4        10         8         1         4         7         5         6
Vardas1541           Pavarde1541                      7         7         9         8         3         9         4         8
Vardas1542           Pavarde1542                     10         3         5         1         3         1         9         3
Vardas1543           Pavarde1543                      5         4         5         5         8         1         5         3
Vardas1544           Pavarde1544                      7         7         9         9         9         5        10         2
Vardas1545           Pavarde1545                      6         7         4         2         2         7        10        10
Vardas1546           Pavarde1546                      6         2         6         4         6         6         3         6
Vardas1547           Pavarde1547                      8         1         2         1         9         7         8         5
Vardas1548           Pavarde1548                      8         5         4         5        10         2         4         1
Vardas1549           Pavarde1549                      2         8         9         8         6         9         2         5
Vardas1550           Pavarde1550                     10        10         3         5         5         2         3         9
Vardas1551           Pavarde1551                      3        10         2         4         4         2         1         4
Vardas1552           Pavarde1552                      7         3         7         5         8         7         9         6
Vardas1553           Pavarde1553                      2         8         3         7         4         1         3         1
Vardas1554           Pavarde1554                      8         4         4         6         4         7         3         8
Vardas1555           Pavarde1555                      5         8         7         9         2         6         8         3
Vardas1556           Pavarde1556                      5         6         8         4         7         2         8        10
Vardas1557           Pavarde1557                      7         7         2         9         8         1         7        10
Vardas1558           Pavarde1558                      8         3         7         6         3         9         3         8
Vardas1559           Pavarde1559                      4         3         4        10         9         2         9         6
Vardas1560           Pavarde1560                      2         6         1         9         5         8         2        10
Vardas1561           Pavarde1561                      2         5         2         7         7         5         6         9
Vardas1562           Pavarde1562                      6         5         3         9         7         8         4         7
Vardas1563           Pavarde1563                      3         2        10         9         5         7        10         9
Vardas1564           Pavarde1564                      8         6         8         7         8         7         3         6
Vardas1565           Pavarde1565                      7         7        10         6        10         3         2         3
Vardas1566           Pavarde1566                      9         9         5         1         7         5         8         2
Vardas1567           Pavarde1567                      4         7         7         9         2         3         4         7
Vardas1568           Pavarde1568                      9         8         5         5         3         5         1         2
Vardas1569           Pavarde1569                      4         7         3         8         9         1         7         1
Vardas1570           Pavarde1570                     10         8         2         8         1         4         7         7
Vardas1571           Pavarde1571                      3         9         2         2         7         1         6         3
Vardas1572           Pavarde1572                     10         5         7         5         6         6         7         9
Vardas1573           Pavarde1573                      5         8         5         7         9        10         2         4
Vardas1574           Pavarde1574                      8         9         4        10         4        10         1         8
Vardas1575           Pavarde1575                      2         1        10         8        10        10        10         9
Vardas1576           Pavarde1576                      4         2        10         3         4         2         3         7
Vardas1577           Pavarde1577                     10         9         8         1         2         3         5         6
Vardas1578           Pavarde1578                      7         3        10         2         7         7         5         6
Vardas1579           Pavarde1579                      5         8         2         7        10         2         4         1
Vardas1580           Pavarde1580                     10         3         3         3         5         1         3         5
Vardas1581           Pavarde1581                      9         1         8         9         1         6         8         4
Vardas1582           Pavarde1582                      2         6         2         1         4         7         9         2
Vardas1583           Pavarde1583                      9         2         8         8         5         9         4         7
Vardas1584           Pavarde1584                      4         7         2         4         2        10         9         1
Vardas1585           Pavarde1585                      1         3         9        10         3         9         1         5
Vardas1586           Pavarde1586                     10         7         8         1         6         2         7         8
Vardas1587           Pavarde1587                      6         2        10         6         7         4         8         7
Vardas1588           Pavarde1588                      3        10         5        10         8         6        10         9
Vardas1589           Pavarde1589                      1         2        10         5         9         4         5         5
Vardas1590           Pavarde1590                      6         8         2         4         1         2         1         9
Vardas1591           Pavarde1591                      8         2         4         4         8         8         2         6
Vardas1592           Pavarde1592                      8         3         4        10         2         2         2         2
Vardas1593           Pavarde1593                      4         1         6         9         5         3         5         8
Vardas1594           Pavarde1594                      3         3         1         5         1         8         5         1
Vardas1595           Pavarde1595                      9         1         2         5         7         7         7        10
Vardas1596           Pavarde1596                      5         6         4         4         7         1         9         1
Vardas1597           Pavarde1597                      7        10         5         1         9         8         7         9
Vardas1598           Pavarde1598                      6         2         6         1         7         6         2         2
Vardas1599           Pavarde1599                      8        10         6         6        10         8         9         6
Vardas1600           Pavarde1600                     10         9         7         2         6         2         9         4
Vardas1601           Pavarde1601                      8         2         6         3         7         6         8         8
Vardas1602           Pavarde1602                      1        10         1         7        10         1         7         6
Vardas1603           Pavarde1603                      3         5         4         1         3         2         8         3
Vardas1604           Pavarde1604                     10         3         9         8        10         4         9         4
Vardas1605           Pavarde1605                      2         5         4         4        10         9         3        10
Vardas1606           Pavarde1606                     10         2         2         7        10         1         5        10
Vardas1607           Pavarde1607                      9         3        10         1         5         4         6         5
